step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.768434388097376,0,0.0,0.9165732619345468,0,0.0
20.0,0,0.0,0.0,12.579783302451894,0,0.0,0.9735562924353434,0,0.0
25.0,0,0.0,0.0,12.545961910229586,0,0.0,0.9729275995556328,0,0.0
30.0,0,0.0,0.0,12.573363351992294,0,0.0,0.9788339952478582,0,0.0
35.0,0,0.0,0.0,12.320726432409387,0,0.0,0.9450129393155444,0,0.0
40.0,0,0.0,0.0,12.728472922623038,0,0.0,0.9848616531332703,0,0.0
45.0,0,0.0,0.0,12.582460380777773,0,0.0,0.9689903561223144,0,0.0
50.0,0,0.0,0.0,12.740865986883179,0,0.0,0.9814367863733375,0,0.0
55.0,0,0.0,0.0,12.326561241656467,0,0.0,0.9404863763604234,0,0.0
60.0,0,0.0,0.0,12.576085622409487,0,0.0,0.9400157508097301,0,0.0
65.0,0,0.0,0.0,12.964931028072696,0,0.0,0.9541335760841414,0,0.0
70.0,0,0.0,0.0,12.338455166375638,0,0.0,0.9085136376219572,0,0.0
75.0,0,0.0,0.0,12.659357973993044,0,0.0,0.9724164497154407,0,0.0
80.0,0,0.0,0.0,12.455267853423768,0,0.0,0.9814207410923838,0,0.0
85.0,0,0.0,0.0,12.786094684910536,0,0.0,0.9579703121398605,0,0.0
90.0,0,0.0,0.0,12.090986513631305,0,0.0,0.8714954958035681,0,0.0
95.0,1,4.0,0.2,11.820379981624098,1,4.0,0.8748283569378797,1,4.0
100.0,1,1.0,0.041666666666666664,11.748601728551906,1,9.0,0.8368957579788411,1,9.0
105.0,1,6.0,0.2222222222222222,12.419173602727657,1,6.0,0.9082858098196982,1,6.0
110.0,2,5.0,0.1724137931034483,11.740420651712624,2,15.0,0.8473435597444606,2,15.0
115.0,3,18.0,0.6206896551724138,11.77716469573526,3,18.0,0.8510715577990119,3,18.0
120.0,2,21.0,0.7,11.169875976993021,2,32.0,0.7680631930428005,2,32.0
125.0,3,27.0,0.7941176470588235,11.643326936656747,3,27.0,0.8475625922423894,3,27.0
130.0,2,32.0,0.9142857142857143,11.877935555060585,2,41.0,0.8470952522080532,2,41.0
135.0,2,31.0,0.8378378378378378,12.079348641432617,2,31.0,0.8972760610884956,2,31.0
140.0,2,41.0,1.025,11.968563848459324,2,41.0,0.8543208289977058,2,41.0
145.0,4,57.0,1.3571428571428572,11.85322236248301,4,57.0,0.840856212240788,4,57.0
150.0,3,69.0,1.5,11.30936862140242,3,76.0,0.7798297522571799,3,76.0
155.0,6,94.0,2.0434782608695654,11.211716904259701,6,94.0,0.7610173379636905,6,94.0
160.0,6,112.0,2.24,10.597218262724594,6,130.0,0.7040570940925734,6,130.0
165.0,5,135.0,2.5,11.084103981132273,5,135.0,0.8233087496501564,5,135.0
170.0,5,160.0,2.909090909090909,11.169997056652203,5,161.0,0.8085328356658537,5,161.0
175.0,7,189.0,3.2033898305084745,11.495154359738923,7,189.0,0.8012832052029933,7,189.0
180.0,5,210.0,3.230769230769231,11.561720412351585,5,222.0,0.7940195053136522,5,222.0
185.0,6,240.0,3.6363636363636362,11.478002525211462,6,240.0,0.8101081995265136,6,240.0
190.0,5,260.0,3.6619718309859155,11.387924973615693,5,275.0,0.7950037384162153,5,275.0
195.0,6,290.0,3.8666666666666667,11.715161708508697,6,290.0,0.8367234185341507,6,290.0
200.0,9,327.0,4.246753246753247,11.539155079437075,9,327.0,0.8090296365098554,9,327.0
205.0,10,374.0,4.794871794871795,11.31964572244678,10,374.0,0.7753849880890371,10,374.0
210.0,12,430.0,5.375,11.268592381134559,12,430.0,0.7581382170662453,12,430.0
215.0,12,490.0,5.6976744186046515,11.137997488364299,12,490.0,0.7380674007122604,12,490.0
220.0,13,554.0,5.956989247311828,11.3272852210453,13,554.0,0.7648951086761022,13,554.0
225.0,14,622.0,6.617021276595745,11.26723633244269,14,622.0,0.7705602719464925,14,622.0
230.0,15,695.0,7.091836734693878,10.99313747508659,15,695.0,0.7452466224606247,15,695.0
235.0,13,624.0,6.058252427184466,10.628834204894225,13,770.0,0.7141189651038927,13,770.0
240.0,15,607.0,5.726415094339623,10.168164160196625,15,607.0,0.71416590721684,15,607.0
245.0,14,652.0,5.981651376146789,10.023333871924503,14,690.0,0.6800873529304924,14,690.0
250.0,12,687.0,5.973913043478261,10.457366162013418,12,699.0,0.7493829138732203,12,699.0
255.0,13,736.0,6.6909090909090905,10.68824152174409,13,765.0,0.7371128005254647,13,765.0
260.0,15,807.0,6.956896551724138,11.007208962404105,15,816.0,0.7606177914085563,15,816.0
265.0,12,836.0,6.909090909090909,10.890523612219281,12,891.0,0.7212500280783056,12,891.0
270.0,11,885.0,7.254098360655738,11.045753689155957,11,885.0,0.7729678083801018,11,885.0
275.0,15,953.0,7.563492063492063,10.996360089099026,15,953.0,0.7532994004485957,15,953.0
280.0,16,1018.0,7.953125,10.963369738157468,16,1036.0,0.7144899239412573,16,1036.0
285.0,19,1095.0,8.171641791044776,10.685988122327455,19,1095.0,0.699923489683665,19,1095.0
290.0,20,1167.0,8.335714285714285,10.561561347583707,20,1203.0,0.6712427448409024,20,1203.0
295.0,20,1242.0,8.625,10.689323535724284,20,1254.0,0.6996069911703023,20,1254.0
